id,x_e_out [-]
4,0.018325643
7,-0.071084614
10,-0.014575
12,0.018699
23,0.052527111
27,-0.065227614
34,0.07524411
36,-0.122871583
39,-0.006823667
43,-0.118840617
44,-0.055634
45,-0.08802425
50,0.111785614
56,-0.1195801
57,0.1437405
60,-0.025344
62,0.055572453
68,-0.076379
70,0.098050333
74,0.068628
75,-0.011246667
76,-0.055895
78,-0.0473345
81,0.051366
85,0.108082
93,-0.041345
95,0.0790415
97,0.058814
99,0.058302
112,-0.06767806
116,-0.083181
119,0.109313068
120,0.018761633
122,-0.041114
127,-0.18279534
137,0.086340092
143,-0.025662
146,-0.018896
148,0.0616825
149,-0.075640714
150,-0.115357
155,0.055488
161,-0.036124
164,0.009667
168,0.050612
171,0.024481
177,-0.19391425
182,-0.0404765
183,-0.014235
185,-0.027883
186,-0.068242667
188,0.108569433
190,-0.043885
192,0.006081
200,-0.035327
203,0.057583333
204,0.007014
206,0.066022317
207,-0.011672429
209,0.035355
210,-0.053169
211,0.103986333
214,-0.036189
215,0.14421
216,0.050305
218,0.083472333
221,0.0767341
223,0.08502125
227,-0.014013
233,-0.029574667
237,-0.090156
240,-0.076798733
241,0.024977
245,0.03881
249,-0.053418298
254,-0.001245
258,-0.031698
260,0.0691405
261,-0.051451
268,-0.159662543
271,0.071505
273,0.094414
280,0.082967167
282,0.084452833
285,0.058335
288,-0.0065633
292,0.006668
293,-0.120467333
294,-0.08673
296,-0.008403333
303,0.084963209
305,-0.080964667
306,-0.041514
308,0.04048
316,0.0263417
317,0.046892
319,0.092017
321,0.033320833
322,0.052647
326,0.05685565
327,0.108672
330,-0.091974
333,-0.035365667
338,0.084704
339,0.011311
340,0.0102853
341,0.098961071
342,0.06011575
347,0.0378325
348,-0.077288
352,0.044709
355,-0.039047733
358,-0.039145
361,-0.005690333
362,0.046037667
364,0.064223
369,-0.111786
371,-0.027268167
381,0.146069333
383,0.040919
387,0.06002
389,-0.009693
397,0.001386
400,-0.082883
402,0.021616
403,-0.038138333
407,-0.074196
415,-0.05804125
417,-0.048890467
426,0.054009
429,0.099553083
432,0.0476445
434,0.026732
438,0.013190333
440,0.009117267
441,0.09945
449,-0.039888
450,-0.0826975
455,-0.0463785
456,-0.000154
